	reaction	equ	g0
MG2t3_2pp_num2	MG2t3_2pp_num2	2.0 h_c + mg2_e --> 2.0 h_e + mg2_c	0.0
NAt3_1p5pp_num2	NAt3_1p5pp_num2	3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e	0.0
NAt3_1p5pp_num3	NAt3_1p5pp_num3	3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e	0.0
NAt3_1p5pp_num4	NAt3_1p5pp_num4	3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e	0.0
NAt3_1p5pp_num5	NAt3_1p5pp_num5	3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e	0.0
NAt3_1p5pp_num6	NAt3_1p5pp_num6	3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e	0.0
NAt3_1p5pp_num7	NAt3_1p5pp_num7	3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e	0.0
NAt3_1p5pp_num8	NAt3_1p5pp_num8	3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e	0.0
NAt3_1p5pp_num9	NAt3_1p5pp_num9	3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e	0.0
NAt3_2pp_num2	NAt3_2pp_num2	2.0 h_e + na1_c --> 2.0 h_c + na1_e	0.0
NAt3_2pp_num3	NAt3_2pp_num3	2.0 h_e + na1_c --> 2.0 h_c + na1_e	0.0
NAt3_2pp_num4	NAt3_2pp_num4	2.0 h_e + na1_c --> 2.0 h_c + na1_e	0.0
NAt3_2pp_num5	NAt3_2pp_num5	2.0 h_e + na1_c --> 2.0 h_c + na1_e	0.0
NAt3_2pp_num6	NAt3_2pp_num6	2.0 h_e + na1_c --> 2.0 h_c + na1_e	0.0
NAt3_2pp_num7	NAt3_2pp_num7	2.0 h_e + na1_c --> 2.0 h_c + na1_e	0.0
NAt3_2pp_num8	NAt3_2pp_num8	2.0 h_e + na1_c --> 2.0 h_c + na1_e	0.0
NAt3_2pp_num9	NAt3_2pp_num9	2.0 h_e + na1_c --> 2.0 h_c + na1_e	0.0
NH4tpp_num2	NH4tpp_num2	nh4_e --> nh4_c	0.0
ZN2abcpp_num2	ZN2abcpp_num2	atp_c + h2o_c + zn2_c --> adp_c + h_c + pi_c + zn2_e	-30.61
FE2tpp_num2	FE2tpp_num2	fe2_e --> fe2_c	0.0
MI2DH_num2	MI2DH_num2	inost_c + nad_c --> 2ins_c + h_c + nadh_c	-6.7
MI2DH_num3	MI2DH_num3	inost_c + nad_c --> 2ins_c + h_c + nadh_c	-6.7
MI2DH_num4	MI2DH_num4	inost_c + nad_c --> 2ins_c + h_c + nadh_c	-6.7
U23GAAT_num2	U23GAAT_num2	3hmrsACP_c + u3hga_c --> ACP_c + h_c + u23ga_c	0.0
U23GAAT_num3	U23GAAT_num3	3hmrsACP_c + u3hga_c --> ACP_c + h_c + u23ga_c	0.0
U23GAAT_num4	U23GAAT_num4	3hmrsACP_c + u3hga_c --> ACP_c + h_c + u23ga_c	0.0
U23GAAT_num5	U23GAAT_num5	3hmrsACP_c + u3hga_c --> ACP_c + h_c + u23ga_c	0.0
UAGAAT_num2	UAGAAT_num2	3hmrsACP_c + uacgam_c --> ACP_c + u3aga_c	0.0
UAGAAT_num3	UAGAAT_num3	3hmrsACP_c + uacgam_c --> ACP_c + u3aga_c	0.0
UAGAAT_num4	UAGAAT_num4	3hmrsACP_c + uacgam_c --> ACP_c + u3aga_c	0.0
UAGAAT_num5	UAGAAT_num5	3hmrsACP_c + uacgam_c --> ACP_c + u3aga_c	0.0
ACCOAC_num2	ACCOAC_num2	accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c	-10.1
ACOATA_num2	ACOATA_num2	ACP_c + accoa_c --> acACP_c + coa_c	-0.0
ACOATA_num3	ACOATA_num3	ACP_c + accoa_c --> acACP_c + coa_c	-0.0
ACOATA_num4	ACOATA_num4	ACP_c + accoa_c --> acACP_c + coa_c	-0.0
ACOATA_num5	ACOATA_num5	ACP_c + accoa_c --> acACP_c + coa_c	-0.0
KAS14_num2	KAS14_num2	acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c	0.0
KAS14_num3	KAS14_num3	acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c	0.0
KAS15_num2	KAS15_num2	accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c	-0.0
KAS15_num3	KAS15_num3	accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c	-0.0
MCOATA_num2	MCOATA_num2	ACP_c + malcoa_c --> coa_c + malACP_c	-0.0
MCOATA_num3	MCOATA_num3	ACP_c + malcoa_c --> coa_c + malACP_c	-0.0
MCOATA_num4	MCOATA_num4	ACP_c + malcoa_c --> coa_c + malACP_c	-0.0
MCOATA_num5	MCOATA_num5	ACP_c + malcoa_c --> coa_c + malACP_c	-0.0
HSST_num2	HSST_num2	accoa_c + hom__L_c --> achms_c + coa_c	-28
METSOXR1_num2	METSOXR1_num2	metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c	-0.0
SHSL1_num2	SHSL1_num2	cys__L_c + suchms_c --> cyst__L_c + h_c + succ_c	-66
MPTG_num2	MPTG_num2	2.0 uaagmda_c --> 2.0 h_c + murein5p5p_e + 2.0 udcpdp_c	-0.0
MPTG_num3	MPTG_num3	2.0 uaagmda_c --> 2.0 h_c + murein5p5p_e + 2.0 udcpdp_c	-0.0
MPTG_num4	MPTG_num4	2.0 uaagmda_c --> 2.0 h_c + murein5p5p_e + 2.0 udcpdp_c	-0.0
MPTG2_num2	MPTG2_num2	murein5p5p_e + uaagmda_c --> h_c + murein5p5p5p_e + udcpdp_c	-0
MPTG2_num3	MPTG2_num3	murein5p5p_e + uaagmda_c --> h_c + murein5p5p5p_e + udcpdp_c	-0
MPTG2_num4	MPTG2_num4	murein5p5p_e + uaagmda_c --> h_c + murein5p5p5p_e + udcpdp_c	-0
NHFRBO_num2	NHFRBO_num2	h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c	-285
DCTPD_num2	DCTPD_num2	dctp_c + h2o_c + h_c --> dutp_c + nh4_c	-29.4
GSNHYDRO_num2	GSNHYDRO_num2	gsn_c + h2o_c --> gua_c + rib__D_c	-2.6
HXPRT_num2	HXPRT_num2	hxan_c + prpp_c --> imp_c + ppi_c	-32.1
UPPRT_num2	UPPRT_num2	prpp_c + ura_c --> ppi_c + ump_c	-24
XTSNH_num2	XTSNH_num2	h2o_c + xtsn_c --> rib__D_c + xan_c	-3.7
XTSNH_num3	XTSNH_num3	h2o_c + xtsn_c --> rib__D_c + xan_c	-3.7
FDH4pp_num2	FDH4pp_num2	for_e + 2.0 h_c + q8_c --> co2_c + h_e + q8h2_c	-145
FDH5pp_num2	FDH5pp_num2	for_e + 2.0 h_c + mqn8_c --> co2_c + h_e + mql8_c	-37
NADPHQR2_num2	NADPHQR2_num2	h_c + nadph_c + q8_c --> nadp_c + q8h2_c	-131
NADPHQR2_num3	NADPHQR2_num3	h_c + nadph_c + q8_c --> nadp_c + q8h2_c	-131
NADPHQR2_num4	NADPHQR2_num4	h_c + nadph_c + q8_c --> nadp_c + q8h2_c	-131
NADPHQR3_num2	NADPHQR3_num2	h_c + mqn8_c + nadph_c --> mql8_c + nadp_c	-23
NADPHQR3_num3	NADPHQR3_num3	h_c + mqn8_c + nadph_c --> mql8_c + nadp_c	-23
NADPHQR3_num4	NADPHQR3_num4	h_c + mqn8_c + nadph_c --> mql8_c + nadp_c	-23
NADPHQR4_num2	NADPHQR4_num2	2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c	-46
NADPHQR4_num3	NADPHQR4_num3	2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c	-46
NADPHQR4_num4	NADPHQR4_num4	2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c	-46
IMPD_num2	IMPD_num2	h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c	15
IMPD_num3	IMPD_num3	h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c	15
ALCD2x_num2	ALCD2x_num2	etoh_c + nad_c --> acald_c + h_c + nadh_c	16.98
DAPDC_num2	DAPDC_num2	26dap__M_c + h_c --> co2_c + lys__L_c	-14
THDPS_num2	THDPS_num2	h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c	26
ACMANAptspp_num2	ACMANAptspp_num2	acmana_e + pep_c --> acmanap_c + pyr_c	-38.9
ACMUMptspp_num2	ACMUMptspp_num2	acmum_e + pep_c --> acmum6p_c + pyr_c	-42.4
GLYBabcpp_num2	GLYBabcpp_num2	atp_c + glyb_e + h2o_c --> adp_c + glyb_c + h_c + pi_c	-30.61
LEUt2rpp_num2	LEUt2rpp_num2	h_e + leu__L_e --> h_c + leu__L_c	0.0
LEUt2rpp_num3	LEUt2rpp_num3	h_e + leu__L_e --> h_c + leu__L_c	0.0
PA120abcpp_num2	PA120abcpp_num2	atp_c + h2o_c + pa120_c --> adp_c + h_c + pa120_e + pi_c	-30.61
PA140abcpp_num2	PA140abcpp_num2	atp_c + h2o_c + pa140_c --> adp_c + h_c + pa140_e + pi_c	-30.61
PA141abcpp_num2	PA141abcpp_num2	atp_c + h2o_c + pa141_c --> adp_c + h_c + pa141_e + pi_c	-30.61
PA160abcpp_num2	PA160abcpp_num2	atp_c + h2o_c + pa160_c --> adp_c + h_c + pa160_e + pi_c	-30.61
PA161abcpp_num2	PA161abcpp_num2	atp_c + h2o_c + pa161_c --> adp_c + h_c + pa161_e + pi_c	-30.61
PA180abcpp_num2	PA180abcpp_num2	atp_c + h2o_c + pa180_c --> adp_c + h_c + pa180_e + pi_c	-30.61
PA181abcpp_num2	PA181abcpp_num2	atp_c + h2o_c + pa181_c --> adp_c + h_c + pa181_e + pi_c	-30.61
PGP120abcpp_num2	PGP120abcpp_num2	atp_c + h2o_c + pgp120_c --> adp_c + h_c + pgp120_e + pi_c	-30.61
PGP140abcpp_num2	PGP140abcpp_num2	atp_c + h2o_c + pgp140_c --> adp_c + h_c + pgp140_e + pi_c	-30.61
PGP141abcpp_num2	PGP141abcpp_num2	atp_c + h2o_c + pgp141_c --> adp_c + h_c + pgp141_e + pi_c	-30.61
PGP160abcpp_num2	PGP160abcpp_num2	atp_c + h2o_c + pgp160_c --> adp_c + h_c + pgp160_e + pi_c	-30.61
PGP161abcpp_num2	PGP161abcpp_num2	atp_c + h2o_c + pgp161_c --> adp_c + h_c + pgp161_e + pi_c	-30.61
PGP180abcpp_num2	PGP180abcpp_num2	atp_c + h2o_c + pgp180_c --> adp_c + h_c + pgp180_e + pi_c	-30.61
PGP181abcpp_num2	PGP181abcpp_num2	atp_c + h2o_c + pgp181_c --> adp_c + h_c + pgp181_e + pi_c	-30.61
PHEMEabcpp_num2	PHEMEabcpp_num2	atp_c + h2o_c + pheme_c --> adp_c + h_c + pheme_e + pi_c	-30.61
PSERtex_num2	PSERtex_num2	pser__L_e --> pser__L_c	0.0
PSERtex_num3	PSERtex_num3	pser__L_e --> pser__L_c	0.0
PSERtex_num4	PSERtex_num4	pser__L_e --> pser__L_c	0.0
TREptsp_num2	TREptsp_num2	pep_c + tre_c --> pyr_c + tre6p_c	-50.7
TREptsp_num3	TREptsp_num3	pep_c + tre_c --> pyr_c + tre6p_c	-50.7
TREptspp_num2	TREptspp_num2	pep_c + tre_e --> pyr_c + tre6p_c	-50.7
TREptspp_num3	TREptspp_num3	pep_c + tre_e --> pyr_c + tre6p_c	-50.7
URAt2pp_num2	URAt2pp_num2	h_e + ura_e --> h_c + ura_c	0.0
URAt2rpp_num2	URAt2rpp_num2	h_e + ura_e --> h_c + ura_c	0.0
XANt2pp_num2	XANt2pp_num2	h_e + xan_e --> h_c + xan_c	0.0
ALATRS_num2	ALATRS_num2	ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c	-0.0
ALATRS_num3	ALATRS_num3	ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c	-0.0
ALATRS_num4	ALATRS_num4	ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c	-0.0
ARGTRS_num2	ARGTRS_num2	arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c	-0.0
ARGTRS_num3	ARGTRS_num3	arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c	-0.0
ARGTRS_num4	ARGTRS_num4	arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c	-0.0
ARGTRS_num5	ARGTRS_num5	arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c	-0.0
ASNTRS_num2	ASNTRS_num2	asn__L_c + atp_c + trnaasn_c --> amp_c + asntrna_c + ppi_c	-0.0
CYSTRS_num2	CYSTRS_num2	atp_c + cys__L_c + trnacys_c --> amp_c + cystrna_c + ppi_c	-0.0
FMETTRS_num2	FMETTRS_num2	10fthf_c + mettrna_c --> fmettrna_c + h_c + thf_c	-0.0
GLUTRS_num2	GLUTRS_num2	atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c	-0.0
GLUTRS_num3	GLUTRS_num3	atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c	-0.0
GLUTRS_num4	GLUTRS_num4	atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c	-0.0
GLYTRS_num2	GLYTRS_num2	atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c	-0.0
GLYTRS_num3	GLYTRS_num3	atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c	-0.0
GLYTRS_num4	GLYTRS_num4	atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c	-0.0
GLYTRS_num5	GLYTRS_num5	atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c	-0.0
ILETRS_num2	ILETRS_num2	atp_c + ile__L_c + trnaile_c --> amp_c + iletrna_c + ppi_c	-0.0
LEUTRS_num2	LEUTRS_num2	atp_c + leu__L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c	-0.0
LEUTRS_num3	LEUTRS_num3	atp_c + leu__L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c	-0.0
LEUTRS_num4	LEUTRS_num4	atp_c + leu__L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c	-0.0
LEUTRS_num5	LEUTRS_num5	atp_c + leu__L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c	-0.0
LEUTRS_num6	LEUTRS_num6	atp_c + leu__L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c	-0.0
LYSTRS_num2	LYSTRS_num2	atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c	-0.0
LYSTRS_num3	LYSTRS_num3	atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c	-0.0
METTRS_num2	METTRS_num2	atp_c + met__L_c + trnamet_c --> amp_c + mettrna_c + ppi_c	-0.0
METTRS_num3	METTRS_num3	atp_c + met__L_c + trnamet_c --> amp_c + mettrna_c + ppi_c	-0.0
METTRS_num4	METTRS_num4	atp_c + met__L_c + trnamet_c --> amp_c + mettrna_c + ppi_c	-0.0
PROTRS_num2	PROTRS_num2	atp_c + pro__L_c + trnapro_c --> amp_c + ppi_c + protrna_c	-0.0
PROTRS_num3	PROTRS_num3	atp_c + pro__L_c + trnapro_c --> amp_c + ppi_c + protrna_c	-0.0
SERTRS_num2	SERTRS_num2	atp_c + ser__L_c + trnaser_c --> amp_c + ppi_c + sertrna_c	-0.0
SERTRS_num3	SERTRS_num3	atp_c + ser__L_c + trnaser_c --> amp_c + ppi_c + sertrna_c	-0.0
SERTRS_num4	SERTRS_num4	atp_c + ser__L_c + trnaser_c --> amp_c + ppi_c + sertrna_c	-0.0
THRTRS_num2	THRTRS_num2	atp_c + thr__L_c + trnathr_c --> amp_c + ppi_c + thrtrna_c	-0.0
THRTRS_num3	THRTRS_num3	atp_c + thr__L_c + trnathr_c --> amp_c + ppi_c + thrtrna_c	-0.0
THRTRS_num4	THRTRS_num4	atp_c + thr__L_c + trnathr_c --> amp_c + ppi_c + thrtrna_c	-0.0
VALTRS_num2	VALTRS_num2	atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c	-0.0
VALTRS_num3	VALTRS_num3	atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c	-0.0
VALTRS_num4	VALTRS_num4	atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c	-0.0
PHETA1_num2	PHETA1_num2	glu__L_c + phpyr_c --> akg_c + phe__L_c	0.4
SHK3Dr_num2	SHK3Dr_num2	3dhsk_c + h_c + nadph_c --> nadp_c + skm_c	-5.7
TYRTA_num2	TYRTA_num2	34hpp_c + glu__L_c --> akg_c + tyr__L_c	-0.1
THRD_L_num2	THRD_L_num2	thr__L_c --> 2obut_c + nh4_c	-24
ALCD19_reverse_num2	ALCD19_reverse_num2	glyc_c + nad_c --> glyald_c + h_c + nadh_c	35.0
ALCD19_reverse_num3	ALCD19_reverse_num3	glyc_c + nad_c --> glyald_c + h_c + nadh_c	35.0
ARAI_reverse_num2	ARAI_reverse_num2	rbl__L_c --> arab__L_c	-4.9
HPYRI_reverse_num2	HPYRI_reverse_num2	2h3oppan_c --> hpyr_c	-1.6
MCITL2_reverse_num2	MCITL2_reverse_num2	pyr_c + succ_c --> micit_c	-0.0
PMANM_reverse_num2	PMANM_reverse_num2	man6p_c --> man1p_c	4.4
MCITD_reverse_num2	MCITD_reverse_num2	2mcacn_c + h2o_c --> 2mcit_c	2.9
MCITD_reverse_num3	MCITD_reverse_num3	2mcacn_c + h2o_c --> 2mcit_c	2.9
GALUi_reverse_num2	GALUi_reverse_num2	ppi_c + udpg_c --> g1p_c + h_c + utp_c	3.2
GAPD_reverse_num2	GAPD_reverse_num2	13dpg_c + h_c + nadh_c --> g3p_c + nad_c + pi_c	-0.1
PGM_reverse_num2	PGM_reverse_num2	2pg_c --> 3pg_c	-4.3
PGM_reverse_num3	PGM_reverse_num3	2pg_c --> 3pg_c	-4.3
PGM_reverse_num4	PGM_reverse_num4	2pg_c --> 3pg_c	-4.3
PGM_reverse_num5	PGM_reverse_num5	2pg_c --> 3pg_c	-4.3
CAt6pp_reverse_num2	CAt6pp_reverse_num2	ca2_e + na1_c --> ca2_c + na1_e	0.0
CAt6pp_reverse_num3	CAt6pp_reverse_num3	ca2_e + na1_c --> ca2_c + na1_e	0.0
CAt6pp_reverse_num4	CAt6pp_reverse_num4	ca2_e + na1_c --> ca2_c + na1_e	0.0
CAt6pp_reverse_num5	CAt6pp_reverse_num5	ca2_e + na1_c --> ca2_c + na1_e	0.0
CAt6pp_reverse_num6	CAt6pp_reverse_num6	ca2_e + na1_c --> ca2_c + na1_e	0.0
CAt6pp_reverse_num7	CAt6pp_reverse_num7	ca2_e + na1_c --> ca2_c + na1_e	0.0
CAt6pp_reverse_num8	CAt6pp_reverse_num8	ca2_e + na1_c --> ca2_c + na1_e	0.0
CAt6pp_reverse_num9	CAt6pp_reverse_num9	ca2_e + na1_c --> ca2_c + na1_e	0.0
MG2t3_2pp_reverse_num2	MG2t3_2pp_reverse_num2	2.0 h_e + mg2_c --> 2.0 h_c + mg2_e	0.0
NH4tpp_reverse_num2	NH4tpp_reverse_num2	nh4_c --> nh4_e	0.0
MI2DH_reverse_num2	MI2DH_reverse_num2	2ins_c + h_c + nadh_c --> inost_c + nad_c	6.7
MI2DH_reverse_num3	MI2DH_reverse_num3	2ins_c + h_c + nadh_c --> inost_c + nad_c	6.7
MI2DH_reverse_num4	MI2DH_reverse_num4	2ins_c + h_c + nadh_c --> inost_c + nad_c	6.7
UAGAAT_reverse_num2	UAGAAT_reverse_num2	ACP_c + u3aga_c --> 3hmrsACP_c + uacgam_c	-0.0
UAGAAT_reverse_num3	UAGAAT_reverse_num3	ACP_c + u3aga_c --> 3hmrsACP_c + uacgam_c	-0.0
UAGAAT_reverse_num4	UAGAAT_reverse_num4	ACP_c + u3aga_c --> 3hmrsACP_c + uacgam_c	-0.0
UAGAAT_reverse_num5	UAGAAT_reverse_num5	ACP_c + u3aga_c --> 3hmrsACP_c + uacgam_c	-0.0
ACOATA_reverse_num2	ACOATA_reverse_num2	acACP_c + coa_c --> ACP_c + accoa_c	0.0
ACOATA_reverse_num3	ACOATA_reverse_num3	acACP_c + coa_c --> ACP_c + accoa_c	0.0
ACOATA_reverse_num4	ACOATA_reverse_num4	acACP_c + coa_c --> ACP_c + accoa_c	0.0
ACOATA_reverse_num5	ACOATA_reverse_num5	acACP_c + coa_c --> ACP_c + accoa_c	0.0
MCOATA_reverse_num2	MCOATA_reverse_num2	coa_c + malACP_c --> ACP_c + malcoa_c	0.0
MCOATA_reverse_num3	MCOATA_reverse_num3	coa_c + malACP_c --> ACP_c + malcoa_c	0.0
MCOATA_reverse_num4	MCOATA_reverse_num4	coa_c + malACP_c --> ACP_c + malcoa_c	0.0
MCOATA_reverse_num5	MCOATA_reverse_num5	coa_c + malACP_c --> ACP_c + malcoa_c	0.0
ALCD2x_reverse_num2	ALCD2x_reverse_num2	acald_c + h_c + nadh_c --> etoh_c + nad_c	-16.98
LEUt2rpp_reverse_num2	LEUt2rpp_reverse_num2	h_c + leu__L_c --> h_e + leu__L_e	0.0
LEUt2rpp_reverse_num3	LEUt2rpp_reverse_num3	h_c + leu__L_c --> h_e + leu__L_e	0.0
PSERtex_reverse_num2	PSERtex_reverse_num2	pser__L_c --> pser__L_e	0.0
PSERtex_reverse_num3	PSERtex_reverse_num3	pser__L_c --> pser__L_e	0.0
PSERtex_reverse_num4	PSERtex_reverse_num4	pser__L_c --> pser__L_e	0.0
URAt2rpp_reverse_num2	URAt2rpp_reverse_num2	h_c + ura_c --> h_e + ura_e	0.0
PHETA1_reverse_num2	PHETA1_reverse_num2	akg_c + phe__L_c --> glu__L_c + phpyr_c	-0.4
SHK3Dr_reverse_num2	SHK3Dr_reverse_num2	nadp_c + skm_c --> 3dhsk_c + h_c + nadph_c	5.7
TYRTA_reverse_num2	TYRTA_reverse_num2	akg_c + tyr__L_c --> 34hpp_c + glu__L_c	0.1
